id;nodeA;nodeB;type;cond;substation;subnet;voltLvl
LV5.303 Switch 135;LV5.303 Bus 71;LV5.303 Bus 71_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 136;LV5.303 Bus 71;LV5.303 Bus 71_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 150;LV5.303 Bus 76;LV5.303 Bus 76_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 152;LV5.303 Bus 76;LV5.303 Bus 76_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 151;LV5.303 Bus 76;LV5.303 Bus 76_3;LS;1;NULL;LV5.303;7
LV5.303 Switch 134;LV5.303 Bus 70;LV5.303 Bus 70_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 133;LV5.303 Bus 70;LV5.303 Bus 70_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 202;LV5.303 Bus 101;LV5.303 Bus 101_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 201;LV5.303 Bus 101;LV5.303 Bus 101_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 64;LV5.303 Bus 32;LV5.303 Bus 32_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 63;LV5.303 Bus 32;LV5.303 Bus 32_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 60;LV5.303 Bus 30;LV5.303 Bus 30_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 59;LV5.303 Bus 30;LV5.303 Bus 30_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 8;LV5.303 Bus 4;LV5.303 Bus 4_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 7;LV5.303 Bus 4;LV5.303 Bus 4_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 119;LV5.303 Bus 61;LV5.303 Bus 61_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 120;LV5.303 Bus 61;LV5.303 Bus 61_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 31;LV5.303 Bus 16;LV5.303 Bus 16_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 32;LV5.303 Bus 16;LV5.303 Bus 16_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 70;LV5.303 Bus 36;LV5.303 Bus 36_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 71;LV5.303 Bus 36;LV5.303 Bus 36_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 78;LV5.303 Bus 40;LV5.303 Bus 40_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 79;LV5.303 Bus 40;LV5.303 Bus 40_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 161;LV5.303 Bus 79;LV5.303 Bus 79_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 160;LV5.303 Bus 79;LV5.303 Bus 79_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 199;LV5.303 Bus 100;LV5.303 Bus 100_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 200;LV5.303 Bus 100;LV5.303 Bus 100_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 1;LV5.303 Bus 1;LV5.303 Bus 1_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 2;LV5.303 Bus 1;LV5.303 Bus 1_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 96;LV5.303 Bus 49;LV5.303 Bus 49_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 97;LV5.303 Bus 49;LV5.303 Bus 49_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 113;LV5.303 Bus 57;LV5.303 Bus 57_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 112;LV5.303 Bus 57;LV5.303 Bus 57_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 117;LV5.303 Bus 59;LV5.303 Bus 59_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 116;LV5.303 Bus 59;LV5.303 Bus 59_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 52;LV5.303 Bus 26;LV5.303 Bus 26_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 51;LV5.303 Bus 26;LV5.303 Bus 26_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 84;LV5.303 Bus 42;LV5.303 Bus 42_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 83;LV5.303 Bus 42;LV5.303 Bus 42_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 29;LV5.303 Bus 15;LV5.303 Bus 15_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 30;LV5.303 Bus 15;LV5.303 Bus 15_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 125;LV5.303 Bus 64;LV5.303 Bus 64_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 124;LV5.303 Bus 64;LV5.303 Bus 64_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 21;LV5.303 Bus 11;LV5.303 Bus 11_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 22;LV5.303 Bus 11;LV5.303 Bus 11_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 203;LV5.303 Bus 102;LV5.303 Bus 102_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 204;LV5.303 Bus 102;LV5.303 Bus 102_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 148;LV5.303 Bus 75;LV5.303 Bus 75_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 149;LV5.303 Bus 75;LV5.303 Bus 75_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 36;LV5.303 Bus 18;LV5.303 Bus 18_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 35;LV5.303 Bus 18;LV5.303 Bus 18_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 40;LV5.303 Bus 20;LV5.303 Bus 20_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 14;LV5.303 Bus 7;LV5.303 Bus 7_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 13;LV5.303 Bus 7;LV5.303 Bus 7_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 66;LV5.303 Bus 33;LV5.303 Bus 33_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 65;LV5.303 Bus 33;LV5.303 Bus 33_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 196;LV5.303 Bus 98;LV5.303 Bus 98_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 195;LV5.303 Bus 98;LV5.303 Bus 98_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 69;LV5.303 Bus 35;LV5.303 Bus 35_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 46;LV5.303 Bus 23;LV5.303 Bus 23_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 45;LV5.303 Bus 23;LV5.303 Bus 23_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 110;LV5.303 Bus 56;LV5.303 Bus 56_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 111;LV5.303 Bus 56;LV5.303 Bus 56_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 16;LV5.303 Bus 8;LV5.303 Bus 8_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 15;LV5.303 Bus 8;LV5.303 Bus 8_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 58;LV5.303 Bus 29;LV5.303 Bus 29_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 57;LV5.303 Bus 29;LV5.303 Bus 29_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 190;LV5.303 Bus 95;LV5.303 Bus 95_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 189;LV5.303 Bus 95;LV5.303 Bus 95_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 171;LV5.303 Bus 85;LV5.303 Bus 85_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 172;LV5.303 Bus 85;LV5.303 Bus 85_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 208;LV5.303 Bus 105;LV5.303 Bus 105_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 209;LV5.303 Bus 105;LV5.303 Bus 105_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 186;LV5.303 Bus 93;LV5.303 Bus 93_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 187;LV5.303 Bus 93;LV5.303 Bus 93_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 127;LV5.303 Bus 66;LV5.303 Bus 66_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 137;LV5.303 Bus 72;LV5.303 Bus 72_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 139;LV5.303 Bus 72;LV5.303 Bus 72_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 138;LV5.303 Bus 72;LV5.303 Bus 72_3;LS;1;NULL;LV5.303;7
LV5.303 Switch 50;LV5.303 Bus 25;LV5.303 Bus 25_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 49;LV5.303 Bus 25;LV5.303 Bus 25_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 26;LV5.303 Bus 13;LV5.303 Bus 13_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 25;LV5.303 Bus 13;LV5.303 Bus 13_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 188;LV5.303 Bus 94;LV5.303 Bus 94_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 176;LV5.303 Bus 87;LV5.303 Bus 87_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 175;LV5.303 Bus 87;LV5.303 Bus 87_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 19;LV5.303 Bus 10;LV5.303 Bus 10_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 20;LV5.303 Bus 10;LV5.303 Bus 10_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 99;LV5.303 Bus 50;LV5.303 Bus 50_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 98;LV5.303 Bus 50;LV5.303 Bus 50_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 89;LV5.303 Bus 44;LV5.303 Bus 44_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 88;LV5.303 Bus 44;LV5.303 Bus 44_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 41;LV5.303 Bus 21;LV5.303 Bus 21_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 42;LV5.303 Bus 21;LV5.303 Bus 21_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 181;LV5.303 Bus 90;LV5.303 Bus 90_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 180;LV5.303 Bus 90;LV5.303 Bus 90_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 100;LV5.303 Bus 51;LV5.303 Bus 51_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 101;LV5.303 Bus 51;LV5.303 Bus 51_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 44;LV5.303 Bus 22;LV5.303 Bus 22_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 43;LV5.303 Bus 22;LV5.303 Bus 22_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 47;LV5.303 Bus 24;LV5.303 Bus 24_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 48;LV5.303 Bus 24;LV5.303 Bus 24_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 68;LV5.303 Bus 34;LV5.303 Bus 34_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 67;LV5.303 Bus 34;LV5.303 Bus 34_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 206;LV5.303 Bus 104;LV5.303 Bus 104_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 207;LV5.303 Bus 104;LV5.303 Bus 104_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 107;LV5.303 Bus 54;LV5.303 Bus 54_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 106;LV5.303 Bus 54;LV5.303 Bus 54_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 75;LV5.303 Bus 38;LV5.303 Bus 38_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 74;LV5.303 Bus 38;LV5.303 Bus 38_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 132;LV5.303 Bus 69;LV5.303 Bus 69_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 131;LV5.303 Bus 69;LV5.303 Bus 69_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 28;LV5.303 Bus 14;LV5.303 Bus 14_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 27;LV5.303 Bus 14;LV5.303 Bus 14_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 34;LV5.303 Bus 17;LV5.303 Bus 17_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 33;LV5.303 Bus 17;LV5.303 Bus 17_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 122;LV5.303 Bus 63;LV5.303 Bus 63_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 123;LV5.303 Bus 63;LV5.303 Bus 63_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 194;LV5.303 Bus 97;LV5.303 Bus 97_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 193;LV5.303 Bus 97;LV5.303 Bus 97_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 126;LV5.303 Bus 65;LV5.303 Bus 65_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 72;LV5.303 Bus 37;LV5.303 Bus 37_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 73;LV5.303 Bus 37;LV5.303 Bus 37_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 11;LV5.303 Bus 6;LV5.303 Bus 6_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 12;LV5.303 Bus 6;LV5.303 Bus 6_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 205;LV5.303 Bus 103;LV5.303 Bus 103_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 169;LV5.303 Bus 84;LV5.303 Bus 84_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 170;LV5.303 Bus 84;LV5.303 Bus 84_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 93;LV5.303 Bus 47;LV5.303 Bus 47_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 221;LV5.303 Bus 47;LV5.303 Bus 47_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 94;LV5.303 Bus 48;LV5.303 Bus 48_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 95;LV5.303 Bus 48;LV5.303 Bus 48_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 128;LV5.303 Bus 67;LV5.303 Bus 67_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 154;LV5.303 Bus 77;LV5.303 Bus 77_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 155;LV5.303 Bus 77;LV5.303 Bus 77_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 156;LV5.303 Bus 77;LV5.303 Bus 77_3;LS;1;NULL;LV5.303;7
LV5.303 Switch 153;LV5.303 Bus 77;LV5.303 Bus 77_4;LS;1;NULL;LV5.303;7
LV5.303 Switch 191;LV5.303 Bus 96;LV5.303 Bus 96_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 192;LV5.303 Bus 96;LV5.303 Bus 96_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 102;LV5.303 Bus 52;LV5.303 Bus 52_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 103;LV5.303 Bus 52;LV5.303 Bus 52_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 197;LV5.303 Bus 99;LV5.303 Bus 99_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 198;LV5.303 Bus 99;LV5.303 Bus 99_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 55;LV5.303 Bus 28;LV5.303 Bus 28_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 56;LV5.303 Bus 28;LV5.303 Bus 28_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 115;LV5.303 Bus 58;LV5.303 Bus 58_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 114;LV5.303 Bus 58;LV5.303 Bus 58_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 177;LV5.303 Bus 88;LV5.303 Bus 88_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 178;LV5.303 Bus 88;LV5.303 Bus 88_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 104;LV5.303 Bus 53;LV5.303 Bus 53_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 105;LV5.303 Bus 53;LV5.303 Bus 53_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 184;LV5.303 Bus 92;LV5.303 Bus 92_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 185;LV5.303 Bus 92;LV5.303 Bus 92_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 147;LV5.303 Bus 74;LV5.303 Bus 74_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 146;LV5.303 Bus 74;LV5.303 Bus 74_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 217;LV5.303 Bus 74;LV5.303 Bus 74_3;LS;1;NULL;LV5.303;7
LV5.303 Switch 218;LV5.303 Bus 74;LV5.303 Bus 74_4;LS;1;NULL;LV5.303;7
LV5.303 Switch 108;LV5.303 Bus 55;LV5.303 Bus 55_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 109;LV5.303 Bus 55;LV5.303 Bus 55_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 5;LV5.303 Bus 3;LV5.303 Bus 3_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 6;LV5.303 Bus 3;LV5.303 Bus 3_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 118;LV5.303 Bus 60;LV5.303 Bus 60_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 183;LV5.303 Bus 91;LV5.303 Bus 91_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 182;LV5.303 Bus 91;LV5.303 Bus 91_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 3;LV5.303 Bus 2;LV5.303 Bus 2_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 4;LV5.303 Bus 2;LV5.303 Bus 2_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 162;LV5.303 Bus 80;LV5.303 Bus 80_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 17;LV5.303 Bus 9;LV5.303 Bus 9_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 18;LV5.303 Bus 9;LV5.303 Bus 9_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 76;LV5.303 Bus 39;LV5.303 Bus 39_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 77;LV5.303 Bus 39;LV5.303 Bus 39_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 91;LV5.303 Bus 46;LV5.303 Bus 46_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 92;LV5.303 Bus 46;LV5.303 Bus 46_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 179;LV5.303 Bus 89;LV5.303 Bus 89_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 140;LV5.303 Bus 73;LV5.303 Bus 73_1;CB;1;NULL;LV5.303;7
LV5.303 Switch 141;LV5.303 Bus 73;LV5.303 Bus 73_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 222;LV5.303 Bus 73;LV5.303 Bus 73_3;LS;1;NULL;LV5.303;7
LV5.303 Switch 143;LV5.303 Bus 73;LV5.303 Bus 73_4;LS;1;NULL;LV5.303;7
LV5.303 Switch 144;LV5.303 Bus 73;LV5.303 Bus 73_5;LS;1;NULL;LV5.303;7
LV5.303 Switch 219;LV5.303 Bus 73;LV5.303 Bus 73_6;LS;1;NULL;LV5.303;7
LV5.303 Switch 220;LV5.303 Bus 73;LV5.303 Bus 73_7;LS;1;NULL;LV5.303;7
LV5.303 Switch 168;LV5.303 Bus 83;LV5.303 Bus 83_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 167;LV5.303 Bus 83;LV5.303 Bus 83_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 24;LV5.303 Bus 12;LV5.303 Bus 12_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 23;LV5.303 Bus 12;LV5.303 Bus 12_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 129;LV5.303 Bus 68;LV5.303 Bus 68_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 130;LV5.303 Bus 68;LV5.303 Bus 68_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 210;LV5.303 Bus 106;LV5.303 Bus 106_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 211;LV5.303 Bus 106;LV5.303 Bus 106_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 213;LV5.303 Bus 107;LV5.303 Bus 107_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 212;LV5.303 Bus 107;LV5.303 Bus 107_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 223;LV5.303 Bus 108;LV5.303 Bus 108_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 224;LV5.303 Bus 108;LV5.303 Bus 108_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 225;LV5.303 Bus 109;LV5.303 Bus 109_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 226;LV5.303 Bus 109;LV5.303 Bus 109_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 227;LV5.303 Bus 110;LV5.303 Bus 110_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 229;LV5.303 Bus 110;LV5.303 Bus 110_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 228;LV5.303 Bus 111;LV5.303 Bus 111_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 230;LV5.303 Bus 112;LV5.303 Bus 112_1;LS;1;NULL;LV5.303;7
LV5.303 Switch 231;LV5.303 Bus 112;LV5.303 Bus 112_2;LS;1;NULL;LV5.303;7
LV5.303 Switch 232;LV5.303 Bus 113;LV5.303 Bus 113_1;LS;1;NULL;LV5.303;7
HV1 Switch 319;HV1 Bus 25;HV1 Bus 26;CB;1;HV1_MV3.101_Substation;HV1_MV3.101;3
HV1-MV3.101-Trafo1 CB HV-Side;HV1 Bus 25;HV1 Bus 25_1;CB;1;HV1_MV3.101_Substation;MV3.101;3
HV1-MV3.101-Trafo2 CB HV-Side;HV1 Bus 26;HV1 Bus 26_1;CB;1;HV1_MV3.101_Substation;MV3.101;3
CB MV3.101 Busbar0;MV3.101 node1;MV3.101 busbar1A;CB;1;HV1_MV3.101_Substation;MV3.101;5
CB MV3.101 Busbar1;MV3.101 node1;MV3.101 busbar2A;CB;1;HV1_MV3.101_Substation;MV3.101;5
CB MV3.101 Busbar2;MV3.101 node2;MV3.101 busbar1B;CB;1;HV1_MV3.101_Substation;MV3.101;5
CB MV3.101 Busbar3;MV3.101 node2;MV3.101 busbar2B;CB;1;HV1_MV3.101_Substation;MV3.101;5
CB MV3.101 Busbar4;MV3.101 busbar1A;MV3.101 busbar1B;CB;0;HV1_MV3.101_Substation;MV3.101;5
CB MV3.101 Busbar5;MV3.101 busbar2A;MV3.101 busbar2B;CB;0;HV1_MV3.101_Substation;MV3.101;5
CB MV3.101 Base Station1;MV3.101 BS busbar1A;MV3.101 BS busbar1B;DS;0;NULL;MV3.101;5
CB MV3.101 Base Station2;MV3.101 BS busbar1B;MV3.101 BS busbar1C;DS;0;NULL;MV3.101;5
MV3.101 Switch 12;MV3.101 busbar1A;MV3.101 busbar1A_1;CB;1;HV1_MV3.101_Substation;MV3.101;5
MV3.101 Switch 13;MV3.101 Bus 11;MV3.101 Bus 11_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 14;MV3.101 Bus 12;MV3.101 Bus 12_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 15;MV3.101 Bus 13;MV3.101 Bus 13_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 16;MV3.101 Bus 14;MV3.101 Bus 14_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 17;MV3.101 Bus 15;MV3.101 Bus 15_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 18;MV3.101 Bus 16;MV3.101 Bus 16_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 19;MV3.101 Bus 17;MV3.101 Bus 17_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 20;MV3.101 Bus 18;MV3.101 Bus 18_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 21;MV3.101 Bus 19;MV3.101 Bus 19_2;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 22;MV3.101 Bus 20;MV3.101 Bus 20_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 23;MV3.101 Bus 21;MV3.101 Bus 21_1;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 24;MV3.101 Bus 11;MV3.101 Bus 11_2;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 25;MV3.101 Bus 12;MV3.101 Bus 12_2;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 26;MV3.101 Bus 13;MV3.101 Bus 13_2;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 27;MV3.101 Bus 14;MV3.101 Bus 14_2;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 28;MV3.101 Bus 15;MV3.101 Bus 15_2;LBS;1;NULL;MV3.101_Feeder1;5
MV3.101 Switch 29;MV3.101 Bus 16;MV3.101 Bus 16_2;LBS;1;NULL;MV3.101_Feeder1;5
