id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
LV5.303 Line 89;LV5.303 Bus 104_2;LV5.303 Bus 6_1;NAYY 4x240SE 0.6/1kV;0.0111411;100;LV5.303;7
LV5.303 Line 39;LV5.303 Bus 30_1;LV5.303 Bus 73_6;NAYY 4x240SE 0.6/1kV;0.09;100;LV5.303;7
LV5.303 Line 105;LV5.303 Bus 16_2;LV5.303 Bus 84_1;NAYY 4x240SE 0.6/1kV;0.00721947;100;LV5.303;7
LV5.303 Line 85;LV5.303 Bus 88_2;LV5.303 Bus 100_1;NAYY 4x240SE 0.6/1kV;0.00737032;100;LV5.303;7
LV5.303 Line 31;LV5.303 Bus 71_1;LV5.303 Bus 49_1;NAYY 4x240SE 0.6/1kV;0.00626899;100;LV5.303;7
LV5.303 Line 2;LV5.303 Bus 24_1;LV5.303 Bus 102_1;NAYY 4x240SE 0.6/1kV;0.00995493;100;LV5.303;7
LV5.303 Line 81;LV5.303 Bus 25_1;LV5.303 Bus 55_2;NAYY 4x240SE 0.6/1kV;0.0100396;100;LV5.303;7
LV5.303 Line 96;LV5.303 Bus 100_2;LV5.303 Bus 24_2;NAYY 4x240SE 0.6/1kV;0.0010841;100;LV5.303;7
LV5.303 Line 35;LV5.303 Bus 90_1;LV5.303 Bus 92_1;NAYY 4x240SE 0.6/1kV;0.0150703;100;LV5.303;7
LV5.303 Line 42;LV5.303 Bus 103_1;LV5.303 Bus 48_1;NAYY 4x240SE 0.6/1kV;0.00357726;100;LV5.303;7
LV5.303 Line 4;LV5.303 Bus 14_1;LV5.303 Bus 39_1;NAYY 4x240SE 0.6/1kV;0.0141339;100;LV5.303;7
LV5.303 Line 80;LV5.303 Bus 99_2;LV5.303 Bus 25_2;NAYY 4x240SE 0.6/1kV;0.0101988;100;LV5.303;7
LV5.303 Line 40;LV5.303 Bus 53_1;LV5.303 Bus 74_3;NAYY 4x240SE 0.6/1kV;0.036;100;LV5.303;7
LV5.303 Line 13;LV5.303 Bus 69_1;LV5.303 Bus 7_2;NAYY 4x240SE 0.6/1kV;0.00987733;100;LV5.303;7
LV5.303 Line 18;LV5.303 Bus 73_2;LV5.303 Bus 1_1;NAYY 4x240SE 0.6/1kV;0.0139169;100;LV5.303;7
LV5.303 Line 24;LV5.303 Bus 83_1;LV5.303 Bus 56_1;NAYY 4x240SE 0.6/1kV;0.0102233;100;LV5.303;7
LV5.303 Line 56;LV5.303 Bus 74_4;LV5.303 Bus 35_1;NAYY 4x240SE 0.6/1kV;0.039;100;LV5.303;7
LV5.303 Line 67;LV5.303 Bus 46_1;LV5.303 Bus 79_1;NAYY 4x240SE 0.6/1kV;0.0179092;100;LV5.303;7
LV5.303 Line 59;LV5.303 Bus 54_2;LV5.303 Bus 97_2;NAYY 4x240SE 0.6/1kV;0.00160952;100;LV5.303;7
LV5.303 Line 65;LV5.303 Bus 96_1;LV5.303 Bus 19_3;NAYY 4x240SE 0.6/1kV;0.019;100;LV5.303;7
LV5.303 Line 49;LV5.303 Bus 13_1;LV5.303 Bus 62_1;NAYY 4x240SE 0.6/1kV;0.018118;100;LV5.303;7
LV5.303 Line 20;LV5.303 Bus 87_1;LV5.303 Bus 8_2;NAYY 4x240SE 0.6/1kV;0.0182765;100;LV5.303;7
LV5.303 Line 98;LV5.303 Bus 26_1;LV5.303 Bus 75_1;NAYY 4x240SE 0.6/1kV;0.0144283;100;LV5.303;7
LV5.303 Line 43;LV5.303 Bus 49_2;LV5.303 Bus 106_1;NAYY 4x240SE 0.6/1kV;0.00839819;100;LV5.303;7
LV5.303 Line 62;LV5.303 Bus 95_1;LV5.303 Bus 27_2;NAYY 4x240SE 0.6/1kV;0.00124645;100;LV5.303;7
LV5.303 Line 86;LV5.303 Bus 22_1;LV5.303 Bus 28_1;NAYY 4x240SE 0.6/1kV;0.0190003;100;LV5.303;7
LV5.303 Line 63;LV5.303 Bus 10_2;LV5.303 Bus 86_1;NAYY 4x240SE 0.6/1kV;0.0149947;100;LV5.303;7
LV5.303 Line 97;LV5.303 Bus 106_2;LV5.303 Bus 57_2;NAYY 4x240SE 0.6/1kV;0.0032723;100;LV5.303;7
LV5.303 Line 76;LV5.303 Bus 15_2;LV5.303 Bus 3_1;NAYY 4x240SE 0.6/1kV;0.00185168;100;LV5.303;7
LV5.303 Line 15;LV5.303 Bus 72_3;LV5.303 Bus 45_1;NAYY 4x240SE 0.6/1kV;0.027677;100;LV5.303;7
LV5.303 Line 34;LV5.303 Bus 59_1;LV5.303 Bus 90_2;NAYY 4x240SE 0.6/1kV;0.0199334;100;LV5.303;7
LV5.303 Line 102;LV5.303 Bus 76_2;LV5.303 Bus 105_1;NAYY 4x240SE 0.6/1kV;0.0251089;100;LV5.303;7
LV5.303 Line 57;LV5.303 Bus 74_1;LV5.303 Bus 51_2;NAYY 4x240SE 0.6/1kV;0.0219657;100;LV5.303;7
LV5.303 Line 94;LV5.303 Bus 12_1;LV5.303 Bus 60_1;NAYY 4x240SE 0.6/1kV;0.00182131;100;LV5.303;7
LV5.303 Line 106;LV5.303 Bus 84_2;LV5.303 Bus 73_4;NAYY 4x240SE 0.6/1kV;0.0131451;100;LV5.303;7
LV5.303 Line 69;LV5.303 Bus 80_1;LV5.303 Bus 18_1;NAYY 4x240SE 0.6/1kV;0.0017759;100;LV5.303;7
LV5.303 Line 55;LV5.303 Bus 79_2;LV5.303 Bus 21_1;NAYY 4x240SE 0.6/1kV;0.0259846;100;LV5.303;7
LV5.303 Line 12;LV5.303 Bus 102_2;LV5.303 Bus 69_2;NAYY 4x240SE 0.6/1kV;0.00473835;100;LV5.303;7
LV5.303 Line 83;LV5.303 Bus 52_1;LV5.303 Bus 22_2;NAYY 4x240SE 0.6/1kV;0.00510961;100;LV5.303;7
LV5.303 Line 82;LV5.303 Bus 11_1;LV5.303 Bus 107_2;NAYY 4x240SE 0.6/1kV;0.00544392;100;LV5.303;7
LV5.303 Line 38;LV5.303 Bus 101_1;LV5.303 Bus 20_1;NAYY 4x240SE 0.6/1kV;0.00992653;100;LV5.303;7
LV5.303 Line 84;LV5.303 Bus 38_1;LV5.303 Bus 63_2;NAYY 4x240SE 0.6/1kV;0.0489789;100;LV5.303;7
LV5.303 Line 17;LV5.303 Bus 42_1;LV5.303 Bus 87_2;NAYY 4x240SE 0.6/1kV;0.00286133;100;LV5.303;7
LV5.303 Line 95;LV5.303 Bus 21_2;LV5.303 Bus 76_3;NAYY 4x240SE 0.6/1kV;0.0281251;100;LV5.303;7
LV5.303 Line 28;LV5.303 Bus 47_1;LV5.303 Bus 30_2;NAYY 4x240SE 0.6/1kV;0.0377768;100;LV5.303;7
LV5.303 Line 70;LV5.303 Bus 64_2;LV5.303 Bus 96_2;NAYY 4x240SE 0.6/1kV;0.00263875;100;LV5.303;7
LV5.303 Line 91;LV5.303 Bus 2_2;LV5.303 Bus 46_2;NAYY 4x240SE 0.6/1kV;0.0220129;100;LV5.303;7
LV5.303 Line 14;LV5.303 Bus 89_1;LV5.303 Bus 29_2;NAYY 4x240SE 0.6/1kV;0.045296;100;LV5.303;7
LV5.303 Line 90;LV5.303 Bus 6_2;LV5.303 Bus 93_1;NAYY 4x240SE 0.6/1kV;0.00167204;100;LV5.303;7
LV5.303 Line 6;LV5.303 Bus 75_2;LV5.303 Bus 58_1;NAYY 4x240SE 0.6/1kV;0.0050064;100;LV5.303;7
LV5.303 Line 104;LV5.303 Bus 105_2;LV5.303 Bus 52_2;NAYY 4x240SE 0.6/1kV;0.00221503;100;LV5.303;7
LV5.303 Line 16;LV5.303 Bus 58_2;LV5.303 Bus 42_2;NAYY 4x240SE 0.6/1kV;0.0164234;100;LV5.303;7
LV5.303 Line 23;LV5.303 Bus 5_1;LV5.303 Bus 68_1;NAYY 4x240SE 0.6/1kV;0.00488535;100;LV5.303;7
LV5.303 Line 29;LV5.303 Bus 85_2;LV5.303 Bus 82_1;NAYY 4x240SE 0.6/1kV;0.0204277;100;LV5.303;7
LV5.303 Line 27;LV5.303 Bus 68_2;LV5.303 Bus 83_2;NAYY 4x240SE 0.6/1kV;0.0161277;100;LV5.303;7
LV5.303 Line 41;LV5.303 Bus 31_1;LV5.303 Bus 53_2;NAYY 4x240SE 0.6/1kV;0.00828244;100;LV5.303;7
LV5.303 Line 25;LV5.303 Bus 56_2;LV5.303 Bus 38_2;NAYY 4x240SE 0.6/1kV;0.0124821;100;LV5.303;7
LV5.303 Line 100;LV5.303 Bus 9_2;LV5.303 Bus 50_2;NAYY 4x240SE 0.6/1kV;0.0129061;100;LV5.303;7
LV5.303 Line 30;LV5.303 Bus 48_2;LV5.303 Bus 31_2;NAYY 4x240SE 0.6/1kV;0.00820054;100;LV5.303;7
LV5.303 Line 22;LV5.303 Bus 81_2;LV5.303 Bus 5_2;NAYY 4x240SE 0.6/1kV;0.0102382;100;LV5.303;7
LV5.303 Line 32;LV5.303 Bus 82_2;LV5.303 Bus 40_1;NAYY 4x240SE 0.6/1kV;0.0188563;100;LV5.303;7
LV5.303 Line 11;LV5.303 Bus 1_2;LV5.303 Bus 26_2;NAYY 4x240SE 0.6/1kV;0.00557129;100;LV5.303;7
LV5.303 Line 77;LV5.303 Bus 3_2;LV5.303 Bus 91_1;NAYY 4x240SE 0.6/1kV;0.00232237;100;LV5.303;7
LV5.303 Line 92;LV5.303 Bus 93_2;LV5.303 Bus 11_2;NAYY 4x240SE 0.6/1kV;0.0149219;100;LV5.303;7
LV5.303 Line 33;LV5.303 Bus 40_2;LV5.303 Bus 59_2;NAYY 4x240SE 0.6/1kV;0.0217875;100;LV5.303;7
LV5.303 Line 93;LV5.303 Bus 86_2;LV5.303 Bus 12_2;NAYY 4x240SE 0.6/1kV;0.0043578;100;LV5.303;7
LV5.303 Line 68;LV5.303 Bus 17_1;LV5.303 Bus 19_4;NAYY 4x240SE 0.6/1kV;0.037;100;LV5.303;7
LV5.303 Line 73;LV5.303 Bus 67_1;LV5.303 Bus 77_2;NAYY 4x240SE 0.6/1kV;0.0287121;100;LV5.303;7
LV5.303 Line 47;LV5.303 Bus 19_2;LV5.303 Bus 13_2;NAYY 4x240SE 0.6/1kV;0.0181601;100;LV5.303;7
LV5.303 Line 46;LV5.303 Bus 36_2;LV5.303 Bus 65_1;NAYY 4x240SE 0.6/1kV;0.00683612;100;LV5.303;7
LV5.303 Line 87;LV5.303 Bus 28_2;LV5.303 Bus 71_2;NAYY 4x240SE 0.6/1kV;0.00654022;100;LV5.303;7
LV5.303 Line 66;LV5.303 Bus 18_2;LV5.303 Bus 17_2;NAYY 4x240SE 0.6/1kV;0.00791441;100;LV5.303;7
LV5.303 Line 3;LV5.303 Bus 73_5;LV5.303 Bus 14_2;NAYY 4x240SE 0.6/1kV;0.030304;100;LV5.303;7
LV5.303 Line 36;LV5.303 Bus 92_2;LV5.303 Bus 101_2;NAYY 4x240SE 0.6/1kV;0.010188;100;LV5.303;7
LV5.303 Line 75;LV5.303 Bus 91_2;LV5.303 Bus 77_3;NAYY 4x240SE 0.6/1kV;0.0109137;100;LV5.303;7
LV5.303 Line 50;LV5.303 Bus 77_4;LV5.303 Bus 44_2;NAYY 4x240SE 0.6/1kV;0.0101795;100;LV5.303;7
LV5.303 Line 5;LV5.303 Bus 39_2;LV5.303 Bus 66_1;NAYY 4x240SE 0.6/1kV;0.0143698;100;LV5.303;7
LV5.303 Line 54;LV5.303 Bus 34_2;LV5.303 Bus 74_2;NAYY 4x240SE 0.6/1kV;0.0173762;100;LV5.303;7
LV5.303 Line 58;LV5.303 Bus 61_2;LV5.303 Bus 95_2;NAYY 4x240SE 0.6/1kV;0.0036937;100;LV5.303;7
LV5.303 Line 107;LV5.303 Bus 73_3;LV5.303 Bus 111_1;NAYY 4x240SE 0.6/1kV;0.04;100;LV5.303;7
LV5.303 Line 108;LV5.303 Bus 47_2;LV5.303 Bus 108_1;NAYY 4x240SE 0.6/1kV;0.033;100;LV5.303;7
LV5.303 Line 109;LV5.303 Bus 108_2;LV5.303 Bus 109_1;NAYY 4x240SE 0.6/1kV;0.027;100;LV5.303;7
LV5.303 Line 110;LV5.303 Bus 109_2;LV5.303 Bus 110_1;NAYY 4x240SE 0.6/1kV;0.041;100;LV5.303;7
LV5.303 Line 111;LV5.303 Bus 110_2;LV5.303 Bus 112_1;NAYY 4x240SE 0.6/1kV;0.031;100;LV5.303;7
LV5.303 Line 112;LV5.303 Bus 112_2;LV5.303 Bus 113_1;NAYY 4x240SE 0.6/1kV;0.028;100;LV5.303;7
MV3.101 Line 1;MV3.101 busbar1A_1;MV3.101 Bus 11_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.22;100;MV3.101_Feeder1;5
MV3.101 Line 2;MV3.101 Bus 11_2;MV3.101 Bus 12_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.24;100;MV3.101_Feeder1;5
MV3.101 Line 3;MV3.101 Bus 12_2;MV3.101 Bus 13_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.06;100;MV3.101_Feeder1;5
MV3.101 Line 4;MV3.101 Bus 13_2;MV3.101 Bus 14_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.16;100;MV3.101_Feeder1;5
MV3.101 Line 5;MV3.101 Bus 14_2;MV3.101 Bus 15_1;NA2XS2Y 1x185 RM/25 6/10 kV;0.24;100;MV3.101_Feeder1;5
MV3.101 Line 6;MV3.101 Bus 15_2;MV3.101 Bus 16_1;NA2XS2Y 1x185 RM/25 6/10 kV;0.4;100;MV3.101_Feeder1;5
MV3.101 Line 7;MV3.101 Bus 16_2;MV3.101 Bus 17_1;NA2XS2Y 1x185 RM/25 6/10 kV;0.13;100;MV3.101_Feeder1;5
MV3.101 Line 8;MV3.101 Bus 17_2;MV3.101 Bus 18_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.15;100;MV3.101_Feeder1;5
MV3.101 Line 9;MV3.101 Bus 14_3;MV3.101 Bus 19_2;NA2XS2Y 1x300 RM/25 6/10 kV;0.2;100;MV3.101_Feeder1;5
MV3.101 Line 10;MV3.101 Bus 19_3;MV3.101 Bus 20_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.23;100;MV3.101_Feeder1;5
MV3.101 Line 11;MV3.101 Bus 20_2;MV3.101 Bus 21_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.13;100;MV3.101_Feeder1;5
MV3.101 Line 12;MV3.101 busbar1A_2;MV3.101 Bus 22_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.24;100;MV3.101_Feeder2;5
MV3.101 Line 13;MV3.101 Bus 22_2;MV3.101 Bus 23_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.21;100;MV3.101_Feeder2;5
MV3.101 Line 14;MV3.101 Bus 23_2;MV3.101 Bus 24_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.19;100;MV3.101_Feeder2;5
MV3.101 Line 15;MV3.101 Bus 24_2;MV3.101 Bus 25_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.09;100;MV3.101_Feeder2;5
MV3.101 Line 16;MV3.101 busbar1B_1;MV3.101 Bus 26_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.4;100;MV3.101_Feeder3;5
MV3.101 Line 17;MV3.101 Bus 26_2;MV3.101 Bus 27_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.28;100;MV3.101_Feeder3;5
MV3.101 Line 18;MV3.101 Bus 27_2;MV3.101 Bus 28_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.3;100;MV3.101_Feeder3;5
MV3.101 Line 19;MV3.101 Bus 28_2;MV3.101 Bus 29_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.26;100;MV3.101_Feeder3;5
MV3.101 Line 20;MV3.101 Bus 29_2;MV3.101 Bus 30_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.17;100;MV3.101_Feeder3;5
MV3.101 Line 21;MV3.101 Bus 30_2;MV3.101 Bus 31_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.09;100;MV3.101_Feeder3;5
MV3.101 Line 22;MV3.101 Bus 31_2;MV3.101 Bus 32_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.26;100;MV3.101_Feeder3;5
MV3.101 Line 23;MV3.101 Bus 32_2;MV3.101 Bus 33_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.24;100;MV3.101_Feeder3;5
MV3.101 Line 24;MV3.101 Bus 33_2;MV3.101 Bus 34_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.22;100;MV3.101_Feeder3;5
MV3.101 Line 25;MV3.101 Bus 34_2;MV3.101 Bus 35_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.13;100;MV3.101_Feeder3;5
MV3.101 Line 26;MV3.101 busbar1B_2;MV3.101 Bus 36_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.08;100;MV3.101_Feeder4;5
MV3.101 Line 27;MV3.101 Bus 36_2;MV3.101 Bus 37_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.24;100;MV3.101_Feeder4;5
MV3.101 Line 28;MV3.101 Bus 37_2;MV3.101 Bus 38_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.12;100;MV3.101_Feeder4;5
MV3.101 Line 29;MV3.101 Bus 38_2;MV3.101 Bus 39_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.35;100;MV3.101_Feeder4;5
MV3.101 Line 30;MV3.101 Bus 39_2;MV3.101 Bus 40_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.41;100;MV3.101_Feeder4;5
MV3.101 Line 31;MV3.101 busbar1B_3;MV3.101 Bus 41_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.1;100;MV3.101_Feeder5;5
MV3.101 Line 32;MV3.101 Bus 41_2;MV3.101 Bus 42_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.12;100;MV3.101_Feeder5;5
MV3.101 Line 33;MV3.101 Bus 42_2;MV3.101 Bus 43_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.27;100;MV3.101_Feeder5;5
MV3.101 Line 34;MV3.101 Bus 43_2;MV3.101 Bus 44_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.27;100;MV3.101_Feeder5;5
MV3.101 Line 35;MV3.101 Bus 44_2;MV3.101 Bus 45_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.26;100;MV3.101_Feeder5;5
MV3.101 Line 36;MV3.101 Bus 45_2;MV3.101 Bus 46_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.15;100;MV3.101_Feeder5;5
MV3.101 Line 37;MV3.101 Bus 46_2;MV3.101 Bus 47_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.4;100;MV3.101_Feeder5;5
MV3.101 Line 38;MV3.101 Bus 47_2;MV3.101 Bus 48_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.19;100;MV3.101_Feeder5;5
MV3.101 Line 39;MV3.101 Bus 48_2;MV3.101 Bus 49_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.11;100;MV3.101_Feeder5;5
MV3.101 Line 40;MV3.101 Bus 49_2;MV3.101 Bus 50_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.09;100;MV3.101_Feeder5;5
MV3.101 Line 41;MV3.101 busbar2B_1;MV3.101 Bus 51_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.11;100;MV3.101_Feeder6;5
MV3.101 Line 42;MV3.101 Bus 51_2;MV3.101 Bus 52_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.35;100;MV3.101_Feeder6;5
MV3.101 Line 43;MV3.101 Bus 52_2;MV3.101 Bus 53_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.22;100;MV3.101_Feeder6;5
MV3.101 Line 44;MV3.101 Bus 53_2;MV3.101 Bus 54_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.35;100;MV3.101_Feeder6;5
MV3.101 Line 45;MV3.101 Bus 54_2;MV3.101 Bus 55_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.39;100;MV3.101_Feeder6;5
MV3.101 Line 46;MV3.101 Bus 55_2;MV3.101 Bus 56_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.43;100;MV3.101_Feeder6;5
MV3.101 Line 47;MV3.101 Bus 56_2;MV3.101 Bus 57_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.33;100;MV3.101_Feeder6;5
MV3.101 Line 48;MV3.101 Bus 57_2;MV3.101 Bus 58_1;NA2XS2Y 1x240 RM/25 6/10 kV;0.29;100;MV3.101_Feeder6;5
MV3.101 Line 49;MV3.101 busbar2B_2;MV3.101 Bus 59_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.15;100;MV3.101_Feeder7;5
MV3.101 Line 50;MV3.101 Bus 59_2;MV3.101 Bus 60_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.24;100;MV3.101_Feeder7;5
MV3.101 Line 51;MV3.101 Bus 60_2;MV3.101 Bus 61_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.4;100;MV3.101_Feeder7;5
MV3.101 Line 52;MV3.101 Bus 61_2;MV3.101 Bus 62_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.22;100;MV3.101_Feeder7;5
MV3.101 Line 53;MV3.101 Bus 62_2;MV3.101 Bus 63_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.34;100;MV3.101_Feeder7;5
MV3.101 Line 54;MV3.101 Bus 63_2;MV3.101 Bus 64_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.41;100;MV3.101_Feeder7;5
MV3.101 Line 55;MV3.101 Bus 64_2;MV3.101 Bus 65_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.17;100;MV3.101_Feeder7;5
MV3.101 Line 56;MV3.101 Bus 65_2;MV3.101 Bus 66_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.24;100;MV3.101_Feeder7;5
MV3.101 Line 57;MV3.101 Bus 66_2;MV3.101 Bus 67_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.13;100;MV3.101_Feeder7;5
MV3.101 Line 58;MV3.101 Bus 67_2;MV3.101 Bus 68_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.32;100;MV3.101_Feeder7;5
MV3.101 Line 59;MV3.101 Bus 68_2;MV3.101 Bus 69_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.21;100;MV3.101_Feeder7;5
MV3.101 Line 60;MV3.101 Bus 69_2;MV3.101 Bus 70_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.41;100;MV3.101_Feeder7;5
MV3.101 Line 61;MV3.101 Bus 70_2;MV3.101 Bus 71_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.42;100;MV3.101_Feeder7;5
MV3.101 Line 62;MV3.101 Bus 71_2;MV3.101 Bus 72_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.2;100;MV3.101_Feeder7;5
MV3.101 Line 63;MV3.101 Bus 72_2;MV3.101 Bus 73_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.13;100;MV3.101_Feeder7;5
MV3.101 Line 64;MV3.101 Bus 73_2;MV3.101 Bus 74_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.22;100;MV3.101_Feeder7;5
MV3.101 Line 65;MV3.101 Bus 74_2;MV3.101 Bus 75_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.27;100;MV3.101_Feeder7;5
MV3.101 Line 66;MV3.101 Bus 75_2;MV3.101 Bus 76_1;NA2XS2Y 1x300 RM/25 6/10 kV;0.26;100;MV3.101_Feeder7;5
MV3.101 Line 67;MV3.101 busbar2B_3;MV3.101 Bus 77_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.08;100;MV3.101_Feeder8;5
MV3.101 Line 68;MV3.101 Bus 77_2;MV3.101 Bus 78_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.15;100;MV3.101_Feeder8;5
MV3.101 Line 69;MV3.101 Bus 78_2;MV3.101 Bus 79_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.19;100;MV3.101_Feeder8;5
MV3.101 Line 70;MV3.101 Bus 79_2;MV3.101 Bus 80_1;NA2XS2Y 1x400 RM/25 6/10 kV;0.24;100;MV3.101_Feeder8;5
