id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
LV5.303 Load 13;LV5.303 Bus 82;G5-A;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 49;LV5.303 Bus 79;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 44;LV5.303 Bus 59;H0-B;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 8;LV5.303 Bus 100;H0-G;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 4;LV5.303 Bus 40;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 73;LV5.303 Bus 85;H0-C;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 47;LV5.303 Bus 8;H0-B;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 62;LV5.303 Bus 67;H0-L;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 40;LV5.303 Bus 18;H0-L;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 94;LV5.303 Bus 38;G1-C;0.007;0.002767;0.00752688;LV5.303;7
LV5.303 Load 9;LV5.303 Bus 65;H0-B;0.001;0.000395;0.00107527;LV5.303;7
LV5.303 Load 75;LV5.303 Bus 90;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 50;LV5.303 Bus 44;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 6;LV5.303 Bus 87;H0-G;0.003;0.001186;0.00322581;LV5.303;7
LV5.303 Load 99;LV5.303 Bus 111;G3-A;0.025;0.009881;0.0268817;LV5.303;7
LV5.303 Load 100;LV5.303 Bus 108;H0-C;0.004;0.001581;0.00430108;LV5.303;7
LV5.303 Load 101;LV5.303 Bus 109;H0-C;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 102;LV5.303 Bus 110;H0-B;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 103;LV5.303 Bus 112;H0-G;0.005;0.001976;0.00537634;LV5.303;7
LV5.303 Load 104;LV5.303 Bus 113;H0-A;0.005;0.001976;0.00537634;LV5.303;7
HV1_MV3.101_load;MV3.101 busbar1A;G0-A;0.43;0.1699;0.462366;MV3.101;5
MV3.101 Load 2;MV3.101 Bus 11;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.301_eq;5
MV3.101 Load 3;MV3.101 Bus 12;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.302_eq;5
MV3.101 Load 4;MV3.101 Bus 13;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.301_eq;5
MV3.101 Load 5;MV3.101 Bus 14;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.303_eq;5
MV3.101 Load 6;MV3.101 Bus 15;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.304_eq;5
MV3.101 Load 7;MV3.101 Bus 16;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.301_eq;5
MV3.101 Load 8;MV3.101 Bus 17;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.302_eq;5
MV3.101 Load 9;MV3.101 Bus 18;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.302_eq;5
MV3.101 Load 11;MV3.101 Bus 20;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.305_eq;5
MV3.101 Load 12;MV3.101 Bus 21;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.303_eq;5
MV3.101 Load 13;MV3.101 Bus 22;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.306_eq;5
MV3.101 Load 14;MV3.101 Bus 23;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.304_eq;5
MV3.101 Load 15;MV3.101 Bus 24;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.305_eq;5
MV3.101 Load 16;MV3.101 Bus 25;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.307_eq;5
MV3.101 Load 17;MV3.101 Bus 26;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.308_eq;5
MV3.101 Load 18;MV3.101 Bus 27;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.306_eq;5
MV3.101 Load 19;MV3.101 Bus 28;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.309_eq;5
MV3.101 Load 20;MV3.101 Bus 29;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.310_eq;5
MV3.101 Load 21;MV3.101 Bus 30;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.311_eq;5
MV3.101 Load 22;MV3.101 Bus 31;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.307_eq;5
MV3.101 Load 23;MV3.101 Bus 32;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.304_eq;5
MV3.101 Load 24;MV3.101 Bus 33;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.312_eq;5
MV3.101 Load 25;MV3.101 Bus 34;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.308_eq;5
MV3.101 Load 26;MV3.101 Bus 35;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.305_eq;5
MV3.101 Load 27;MV3.101 Bus 36;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.306_eq;5
MV3.101 Load 28;MV3.101 Bus 37;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.307_eq;5
MV3.101 Load 29;MV3.101 Bus 38;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.313_eq;5
MV3.101 Load 30;MV3.101 Bus 39;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.314_eq;5
MV3.101 Load 31;MV3.101 Bus 40;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.309_eq;5
MV3.101 Load 32;MV3.101 Bus 41;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.310_eq;5
MV3.101 Load 33;MV3.101 Bus 42;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.311_eq;5
MV3.101 Load 34;MV3.101 Bus 43;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.312_eq;5
MV3.101 Load 35;MV3.101 Bus 44;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.313_eq;5
MV3.101 Load 36;MV3.101 Bus 45;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.315_eq;5
MV3.101 Load 37;MV3.101 Bus 46;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.314_eq;5
MV3.101 Load 38;MV3.101 Bus 47;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.315_eq;5
MV3.101 Load 39;MV3.101 Bus 48;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.316_eq;5
MV3.101 Load 40;MV3.101 Bus 49;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.308_eq;5
MV3.101 Load 41;MV3.101 Bus 50;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.309_eq;5
MV3.101 Load 42;MV3.101 Bus 51;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.317_eq;5
MV3.101 Load 43;MV3.101 Bus 52;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.310_eq;5
MV3.101 Load 44;MV3.101 Bus 53;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.311_eq;5
MV3.101 Load 45;MV3.101 Bus 54;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.318_eq;5
MV3.101 Load 46;MV3.101 Bus 55;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.319_eq;5
MV3.101 Load 47;MV3.101 Bus 56;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.312_eq;5
MV3.101 Load 48;MV3.101 Bus 57;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.313_eq;5
MV3.101 Load 49;MV3.101 Bus 58;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.314_eq;5
MV3.101 Load 50;MV3.101 Bus 59;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.320_eq;5
MV3.101 Load 51;MV3.101 Bus 60;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.316_eq;5
MV3.101 Load 52;MV3.101 Bus 61;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.315_eq;5
MV3.101 Load 53;MV3.101 Bus 62;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.317_eq;5
MV3.101 Load 54;MV3.101 Bus 63;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.316_eq;5
MV3.101 Load 55;MV3.101 Bus 64;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.321_eq;5
MV3.101 Load 56;MV3.101 Bus 65;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.317_eq;5
MV3.101 Load 57;MV3.101 Bus 66;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.318_eq;5
MV3.101 Load 58;MV3.101 Bus 67;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.318_eq;5
MV3.101 Load 59;MV3.101 Bus 68;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.319_eq;5
MV3.101 Load 60;MV3.101 Bus 69;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.320_eq;5
MV3.101 Load 61;MV3.101 Bus 70;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.321_eq;5
MV3.101 Load 62;MV3.101 Bus 71;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.322_eq;5
MV3.101 Load 63;MV3.101 Bus 72;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.323_eq;5
MV3.101 Load 64;MV3.101 Bus 73;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.324_eq;5
MV3.101 Load 65;MV3.101 Bus 74;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.319_eq;5
MV3.101 Load 66;MV3.101 Bus 75;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.320_eq;5
MV3.101 Load 67;MV3.101 Bus 76;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.322_eq;5
MV3.101 Load 68;MV3.101 Bus 77;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.325_eq;5
MV3.101 Load 69;MV3.101 Bus 78;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.321_eq;5
MV3.101 Load 70;MV3.101 Bus 79;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.322_eq;5
MV3.101 Load 71;MV3.101 Bus 80;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.323_eq;5
MV3.101 Load 72;MV3.101 Bus 81;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.326_eq;5
MV3.101 Load 73;MV3.101 Bus 82;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.327_eq;5
MV3.101 Load 74;MV3.101 Bus 83;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.324_eq;5
MV3.101 Load 75;MV3.101 Bus 84;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.328_eq;5
MV3.101 Load 76;MV3.101 Bus 85;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.329_eq;5
MV3.101 Load 77;MV3.101 Bus 86;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.330_eq;5
MV3.101 Load 78;MV3.101 Bus 87;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.325_eq;5
MV3.101 Load 79;MV3.101 Bus 88;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.331_eq;5
MV3.101 Load 80;MV3.101 Bus 89;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.326_eq;5
MV3.101 Load 81;MV3.101 Bus 90;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.332_eq;5
MV3.101 Load 82;MV3.101 Bus 91;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.323_eq;5
MV3.101 Load 83;MV3.101 Bus 92;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.327_eq;5
MV3.101 Load 84;MV3.101 Bus 93;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.328_eq;5
MV3.101 Load 85;MV3.101 Bus 94;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.329_eq;5
MV3.101 Load 86;MV3.101 Bus 95;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.324_eq;5
MV3.101 Load 87;MV3.101 Bus 96;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.333_eq;5
MV3.101 Load 88;MV3.101 Bus 97;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.325_eq;5
MV3.101 Load 89;MV3.101 Bus 98;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.334_eq;5
MV3.101 Load 90;MV3.101 Bus 99;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.335_eq;5
MV3.101 Load 91;MV3.101 Bus 100;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.330_eq;5
MV3.101 Load 92;MV3.101 Bus 101;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.336_eq;5
MV3.101 Load 93;MV3.101 Bus 102;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.326_eq;5
MV3.101 Load 94;MV3.101 Bus 103;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.327_eq;5
MV3.101 Load 95;MV3.101 Bus 104;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.328_eq;5
MV3.101 Load 96;MV3.101 Bus 105;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.337_eq;5
MV3.101 Load 97;MV3.101 Bus 106;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.329_eq;5
MV3.101 Load 98;MV3.101 Bus 107;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.330_eq;5
MV3.101 Load 99;MV3.101 Bus 108;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.338_eq;5
MV3.101 Load 100;MV3.101 Bus 109;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.331_eq;5
MV3.101 Load 101;MV3.101 Bus 110;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.339_eq;5
MV3.101 Load 102;MV3.101 Bus 111;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.340_eq;5
MV3.101 Load 103;MV3.101 Bus 112;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.341_eq;5
MV3.101 Load 104;MV3.101 Bus 113;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.332_eq;5
MV3.101 Load 105;MV3.101 Bus 114;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.331_eq;5
MV3.101 Load 106;MV3.101 Bus 115;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.342_eq;5
MV3.101 Load 107;MV3.101 Bus 116;lv_urban6;0.441;0.1743;0.474194;MV3.101_LV6.332_eq;5
MV3.101 Load 108;MV3.101 Bus 117;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.343_eq;5
MV3.101 Load 109;MV3.101 Bus 118;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.344_eq;5
MV3.101 Load 110;MV3.101 Bus 119;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.301_eq;5
MV3.101 Load 111;MV3.101 Bus 120;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.302_eq;5
MV3.101 Load 112;MV3.101 Bus 121;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.303_eq;5
MV3.101 Load 113;MV3.101 Bus 122;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.333_eq;5
MV3.101 Load 114;MV3.101 Bus 123;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.345_eq;5
MV3.101 Load 115;MV3.101 Bus 124;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.334_eq;5
MV3.101 Load 116;MV3.101 Bus 125;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.304_eq;5
MV3.101 Load 117;MV3.101 Bus 126;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.346_eq;5
MV3.101 Load 118;MV3.101 Bus 127;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.347_eq;5
MV3.101 Load 119;MV3.101 Bus 128;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.348_eq;5
MV3.101 Load 120;MV3.101 Bus 129;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.335_eq;5
MV3.101 Load 121;MV3.101 Bus 130;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.349_eq;5
MV3.101 Load 122;MV3.101 Bus 131;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.336_eq;5
MV3.101 Load 123;MV3.101 Bus 132;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.305_eq;5
MV3.101 Load 124;MV3.101 Bus 133;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.337_eq;5
MV3.101 Load 125;MV3.101 Bus 134;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.306_eq;5
MV3.101 Load 126;MV3.101 Bus 135;lv_semiurb5;0.409;0.1616;0.439785;MV3.101_LV5.350_eq;5
MV3.101 Load 127;MV3.101 Bus 136;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.338_eq;5
MV3.101 Load 128;MV3.101 Bus 137;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.339_eq;5
MV3.101 Load 129;MV3.101 Bus 138;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.307_eq;5
MV3.101 Load 130;MV3.101 Bus 139;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.340_eq;5
MV3.101 Load 131;MV3.101 Bus 140;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.341_eq;5
MV3.101 Load 132;MV3.101 Bus 141;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.308_eq;5
MV3.101 Load 133;MV3.101 Bus 142;lv_semiurb4;0.243;0.096;0.26129;MV3.101_LV4.342_eq;5
MV3.101 Load 134;MV3.101 Bus 143;lv_rural3;0.331;0.1308;0.355914;MV3.101_LV3.309_eq;5
MV3.101 MV Load 1;MV3.101 Bus 84;G0-M;0.47;0.1858;0.505376;MV3.101;5
MV3.101 MV Load 2;MV3.101 Bus 67;G4-M;0.27;0.1067;0.290323;MV3.101;5
MV3.101 MV Load 3;MV3.101 Bus 15;BL-H;0.39;0.1541;0.419355;MV3.101;5
MV3.101 MV Load 4;MV3.101 Bus 11;G3-H;0.19;0.0751;0.204301;MV3.101;5
MV3.101 MV Load 5;MV3.101 Bus 42;WB-H;0.21;0.083;0.225806;MV3.101;5
