id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
LV5.303 Bus 44;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_55;LV5.303;7
LV5.303 Bus 21;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_56;LV5.303;7
LV5.303 Bus 90;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_57;LV5.303;7
LV5.303 Bus 51;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_58;LV5.303;7
LV5.303 Bus 22;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_59;LV5.303;7
LV5.303 Bus 24;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_60;LV5.303;7
LV5.303 Bus 34;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_61;LV5.303;7
LV5.303 Bus 104;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_62;LV5.303;7
LV5.303 Bus 54;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_63;LV5.303;7
LV5.303 Bus 38;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_64;LV5.303;7
LV5.303 Bus 69;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_65;LV5.303;7
LV5.303 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_66;LV5.303;7
LV5.303 Bus 17;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_67;LV5.303;7
LV5.303 Bus 63;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_68;LV5.303;7
LV5.303 Bus 97;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_69;LV5.303;7
LV5.303 Bus 65;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_70;LV5.303;7
LV5.303 Bus 37;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_71;LV5.303;7
LV5.303 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_72;LV5.303;7
LV5.303 Bus 103;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_73;LV5.303;7
LV5.303 Bus 84;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_74;LV5.303;7
LV5.303 Bus 47;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_75;LV5.303;7
LV5.303 Bus 48;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_76;LV5.303;7
LV5.303 Bus 67;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_77;LV5.303;7
LV5.303 Bus 77;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_78;LV5.303;7
LV5.303 Bus 96;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_79;LV5.303;7
LV5.303 Bus 52;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_80;LV5.303;7
LV5.303 Bus 99;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_81;LV5.303;7
LV5.303 Bus 28;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_82;LV5.303;7
LV5.303 Bus 58;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_83;LV5.303;7
LV5.303 Bus 88;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_84;LV5.303;7
LV5.303 Bus 53;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_85;LV5.303;7
LV5.303 Bus 92;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_86;LV5.303;7
LV5.303 Bus 74;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_87;LV5.303;7
LV5.303 Bus 55;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_88;LV5.303;7
LV5.303 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_89;LV5.303;7
LV5.303 Bus 60;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_90;LV5.303;7
LV5.303 Bus 91;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_91;LV5.303;7
LV5.303 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_92;LV5.303;7
LV5.303 Bus 80;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_93;LV5.303;7
LV5.303 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_94;LV5.303;7
LV5.303 Bus 39;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_95;LV5.303;7
LV5.303 Bus 46;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_96;LV5.303;7
LV5.303 Bus 89;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_97;LV5.303;7
LV5.303 Bus 73;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_98;LV5.303;7
LV5.303 Bus 83;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_99;LV5.303;7
LV5.303 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_100;LV5.303;7
LV5.303 Bus 68;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_101;LV5.303;7
LV5.303 Bus 106;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_102;LV5.303;7
LV5.303 Bus 107;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_103;LV5.303;7
LV5.303 Bus 108;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_104;LV5.303;7
LV5.303 Bus 109;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_105;LV5.303;7
LV5.303 Bus 110;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_106;LV5.303;7
LV5.303 Bus 111;busbar;NULL;NULL;0.4;0.9;1.01;NULL;coord_107;LV5.303;7
LV5.303 Bus 112;busbar;NULL;NULL;0.4;0.9;1.01;NULL;coord_108;LV5.303;7
LV5.303 Bus 113;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_109;LV5.303;7
HV1 Bus 25;double busbar;1.025;0.0;110;0.9;1.1;HV1_MV3.101_Substation;coord_110;HV1_MV3.101;3
HV1 Bus 26;double busbar;NULL;NULL;110;0.9;1.1;HV1_MV3.101_Substation;coord_110;HV1_MV3.101;3
MV3.101 node1;auxiliary;NULL;NULL;10;0.965;1.055;HV1_MV3.101_Substation;coord_111;MV3.101;5
MV3.101 node2;auxiliary;NULL;NULL;10;0.965;1.055;HV1_MV3.101_Substation;coord_111;MV3.101;5
MV3.101 busbar1A;busbar;1.025;NULL;10;0.965;1.055;HV1_MV3.101_Substation;coord_111;MV3.101;5
MV3.101 busbar1B;busbar;1.025;NULL;10;0.965;1.055;HV1_MV3.101_Substation;coord_111;MV3.101;5
MV3.101 busbar2A;busbar;1.025;NULL;10;0.965;1.055;HV1_MV3.101_Substation;coord_111;MV3.101;5
MV3.101 busbar2B;busbar;1.025;NULL;10;0.965;1.055;HV1_MV3.101_Substation;coord_111;MV3.101;5
MV3.101 BS busbar1A;busbar;NULL;NULL;10;0.965;1.055;MV3.101_Base_Station;coord_112;MV3.101;5
MV3.101 BS busbar1B;busbar;NULL;NULL;10;0.965;1.055;MV3.101_Base_Station;coord_112;MV3.101;5
MV3.101 BS busbar1C;busbar;NULL;NULL;10;0.965;1.055;MV3.101_Base_Station;coord_112;MV3.101;5
MV3.101 Bus 11;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_247;MV3.101_LV4.301_Feeder1;5
MV3.101 Bus 12;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_248;MV3.101_LV4.302_Feeder1;5
MV3.101 Bus 13;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_249;MV3.101_LV6.301_Feeder1;5
MV3.101 Bus 14;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_250;MV3.101_LV4.303_Feeder1;5
MV3.101 Bus 15;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_251;MV3.101_LV4.304_Feeder1;5
MV3.101 Bus 16;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_252;MV3.101_LV5.301_Feeder1;5
MV3.101 Bus 17;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_253;MV3.101_LV5.302_Feeder1;5
MV3.101 Bus 18;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_254;MV3.101_LV6.302_Feeder1;5
MV3.101 Bus 19;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_255;MV3.101_LV5.303_Feeder1;5
MV3.101 Bus 20;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_256;MV3.101_LV4.305_Feeder1;5
MV3.101 Bus 21;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_257;MV3.101_LV6.303_Feeder1;5
MV3.101 Bus 22;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_258;MV3.101_LV4.306_Feeder2;5
MV3.101 Bus 23;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_259;MV3.101_LV5.304_Feeder2;5
MV3.101 Bus 24;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_260;MV3.101_LV5.305_Feeder2;5
MV3.101 Bus 25;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_261;MV3.101_LV4.307_Feeder2;5
MV3.101 Bus 26;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_262;MV3.101_LV4.308_Feeder3;5
MV3.101 Bus 27;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_263;MV3.101_LV5.306_Feeder3;5
MV3.101 Bus 28;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_264;MV3.101_LV4.309_Feeder3;5
MV3.101 Bus 29;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_265;MV3.101_LV4.310_Feeder3;5
MV3.101 Bus 30;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_266;MV3.101_LV4.311_Feeder3;5
MV3.101 Bus 31;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_267;MV3.101_LV5.307_Feeder3;5
MV3.101 Bus 32;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_268;MV3.101_LV6.304_Feeder3;5
MV3.101 Bus 33;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_269;MV3.101_LV4.312_Feeder3;5
MV3.101 Bus 34;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_270;MV3.101_LV5.308_Feeder3;5
MV3.101 Bus 35;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_271;MV3.101_LV6.305_Feeder3;5
MV3.101 Bus 36;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_272;MV3.101_LV6.306_Feeder4;5
MV3.101 Bus 37;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_273;MV3.101_LV6.307_Feeder4;5
MV3.101 Bus 38;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_274;MV3.101_LV4.313_Feeder4;5
MV3.101 Bus 39;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_275;MV3.101_LV4.314_Feeder4;5
MV3.101 Bus 40;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_276;MV3.101_LV5.309_Feeder4;5
MV3.101 Bus 41;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_277;MV3.101_LV5.310_Feeder5;5
MV3.101 Bus 42;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_278;MV3.101_LV5.311_Feeder5;5
MV3.101 Bus 43;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_279;MV3.101_LV5.312_Feeder5;5
MV3.101 Bus 44;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_280;MV3.101_LV5.313_Feeder5;5
MV3.101 Bus 45;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_281;MV3.101_LV4.315_Feeder5;5
MV3.101 Bus 46;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_282;MV3.101_LV5.314_Feeder5;5
MV3.101 Bus 47;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_283;MV3.101_LV5.315_Feeder5;5
MV3.101 Bus 48;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_284;MV3.101_LV5.316_Feeder5;5
MV3.101 Bus 49;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_285;MV3.101_LV6.308_Feeder5;5
MV3.101 Bus 50;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_286;MV3.101_LV6.309_Feeder5;5
MV3.101 Bus 51;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_287;MV3.101_LV5.317_Feeder6;5
MV3.101 Bus 52;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_288;MV3.101_LV6.310_Feeder6;5
MV3.101 Bus 53;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_289;MV3.101_LV6.311_Feeder6;5
MV3.101 Bus 54;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_290;MV3.101_LV5.318_Feeder6;5
MV3.101 Bus 55;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_291;MV3.101_LV5.319_Feeder6;5
MV3.101 Bus 56;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_292;MV3.101_LV6.312_Feeder6;5
MV3.101 Bus 57;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_293;MV3.101_LV6.313_Feeder6;5
MV3.101 Bus 58;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_294;MV3.101_LV6.314_Feeder6;5
MV3.101 Bus 59;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_295;MV3.101_LV5.320_Feeder7;5
MV3.101 Bus 60;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_296;MV3.101_LV4.316_Feeder7;5
MV3.101 Bus 61;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_297;MV3.101_LV6.315_Feeder7;5
MV3.101 Bus 62;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_298;MV3.101_LV4.317_Feeder7;5
MV3.101 Bus 63;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_299;MV3.101_LV6.316_Feeder7;5
MV3.101 Bus 64;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_300;MV3.101_LV5.321_Feeder7;5
MV3.101 Bus 65;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_301;MV3.101_LV6.317_Feeder7;5
MV3.101 Bus 66;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_302;MV3.101_LV6.318_Feeder7;5
MV3.101 Bus 67;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_303;MV3.101_LV4.318_Feeder7;5
MV3.101 Bus 68;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_304;MV3.101_LV6.319_Feeder7;5
MV3.101 Bus 69;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_305;MV3.101_LV6.320_Feeder7;5
MV3.101 Bus 70;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_306;MV3.101_LV6.321_Feeder7;5
MV3.101 Bus 71;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_307;MV3.101_LV5.322_Feeder7;5
MV3.101 Bus 72;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_308;MV3.101_LV5.323_Feeder7;5
MV3.101 Bus 73;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_309;MV3.101_LV5.324_Feeder7;5
MV3.101 Bus 74;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_310;MV3.101_LV4.319_Feeder7;5
MV3.101 Bus 75;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_311;MV3.101_LV4.320_Feeder7;5
MV3.101 Bus 76;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_312;MV3.101_LV6.322_Feeder7;5
MV3.101 Bus 77;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_313;MV3.101_LV5.325_Feeder8;5
MV3.101 Bus 78;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_314;MV3.101_LV4.321_Feeder8;5
MV3.101 Bus 79;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_315;MV3.101_LV4.322_Feeder8;5
MV3.101 Bus 80;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_316;MV3.101_LV6.323_Feeder8;5
MV3.101 Bus 81;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_317;MV3.101_LV5.326_Feeder8;5
MV3.101 Bus 82;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_318;MV3.101_LV5.327_Feeder8;5
MV3.101 Bus 83;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_319;MV3.101_LV6.324_Feeder8;5
MV3.101 Bus 84;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_320;MV3.101_LV5.328_Feeder8;5
MV3.101 Bus 85;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_321;MV3.101_LV5.329_Feeder8;5
MV3.101 Bus 86;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_322;MV3.101_LV5.330_Feeder8;5
MV3.101 Bus 87;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_323;MV3.101_LV6.325_Feeder8;5
MV3.101 Bus 88;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_324;MV3.101_LV5.331_Feeder8;5
MV3.101 Bus 89;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_325;MV3.101_LV6.326_Feeder8;5
MV3.101 Bus 90;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_326;MV3.101_LV5.332_Feeder8;5
MV3.101 Bus 91;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_327;MV3.101_LV4.323_Feeder8;5
MV3.101 Bus 92;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_328;MV3.101_LV6.327_Feeder8;5
MV3.101 Bus 93;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_329;MV3.101_LV6.328_Feeder8;5
MV3.101 Bus 94;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_330;MV3.101_LV6.329_Feeder9;5
MV3.101 Bus 95;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_331;MV3.101_LV4.324_Feeder9;5
MV3.101 Bus 96;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_332;MV3.101_LV5.333_Feeder9;5
MV3.101 Bus 97;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_333;MV3.101_LV4.325_Feeder9;5
MV3.101 Bus 98;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_334;MV3.101_LV5.334_Feeder9;5
MV3.101 Bus 99;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_335;MV3.101_LV5.335_Feeder9;5
MV3.101 Bus 100;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_336;MV3.101_LV6.330_Feeder9;5
MV3.101 Bus 101;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_337;MV3.101_LV5.336_Feeder9;5
MV3.101 Bus 102;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_338;MV3.101_LV4.326_Feeder9;5
MV3.101 Bus 103;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_339;MV3.101_LV4.327_Feeder9;5
MV3.101 Bus 104;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_340;MV3.101_LV4.328_Feeder9;5
MV3.101 Bus 105;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_341;MV3.101_LV5.337_Feeder10;5
MV3.101 Bus 106;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_342;MV3.101_LV4.329_Feeder10;5
MV3.101 Bus 107;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_343;MV3.101_LV4.330_Feeder10;5
MV3.101 Bus 108;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_344;MV3.101_LV5.338_Feeder10;5
MV3.101 Bus 109;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_345;MV3.101_LV4.331_Feeder10;5
MV3.101 Bus 110;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_346;MV3.101_LV5.339_Feeder10;5
MV3.101 Bus 111;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_347;MV3.101_LV5.340_Feeder10;5
MV3.101 Bus 112;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_348;MV3.101_LV5.341_Feeder10;5
MV3.101 Bus 113;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_349;MV3.101_LV4.332_Feeder10;5
MV3.101 Bus 114;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_350;MV3.101_LV6.331_Feeder10;5
MV3.101 Bus 115;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_351;MV3.101_LV5.342_Feeder10;5
MV3.101 Bus 116;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_352;MV3.101_LV6.332_Feeder10;5
MV3.101 Bus 117;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_353;MV3.101_LV5.343_Feeder10;5
MV3.101 Bus 118;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_354;MV3.101_LV5.344_Feeder10;5
MV3.101 Bus 119;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_355;MV3.101_LV3.301_Feeder11;5
MV3.101 Bus 120;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_356;MV3.101_LV3.302_Feeder11;5
MV3.101 Bus 121;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_357;MV3.101_LV3.303_Feeder11;5
MV3.101 Bus 122;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_358;MV3.101_LV4.333_Feeder11;5
MV3.101 Bus 123;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_359;MV3.101_LV5.345_Feeder11;5
MV3.101 Bus 124;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_360;MV3.101_LV4.334_Feeder11;5
MV3.101 Bus 125;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_361;MV3.101_LV3.304_Feeder12;5
MV3.101 Bus 126;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_362;MV3.101_LV5.346_Feeder12;5
MV3.101 Bus 127;busbar;NULL;NULL;10;0.965;1.055;NULL;coord_363;MV3.101_LV5.347_Feeder12;5
