node;vm;va;substation;subnet;voltLvl
LV5.303 Bus 105;0.984593;-3.54247;NULL;LV5.303;7
LV5.303 Bus 93;0.982254;-3.53418;NULL;LV5.303;7
LV5.303 Bus 66;0.994949;-3.6098;NULL;LV5.303;7
LV5.303 Bus 72;0.982157;-3.37962;NULL;LV5.303;7
LV5.303 Bus 25;0.976828;-3.70211;NULL;LV5.303;7
LV5.303 Bus 13;0.979271;-3.68925;NULL;LV5.303;7
LV5.303 Bus 94;0.982179;-3.30967;NULL;LV5.303;7
LV5.303 Bus 87;0.99395;-3.56883;NULL;LV5.303;7
LV5.303 Bus 10;0.981762;-3.53957;NULL;LV5.303;7
LV5.303 Bus 50;0.990151;-3.58443;NULL;LV5.303;7
LV5.303 Bus 44;0.977515;-3.70021;NULL;LV5.303;7
LV5.303 Bus 21;0.982881;-3.49415;NULL;LV5.303;7
LV5.303 Bus 90;0.99357;-3.41819;NULL;LV5.303;7
LV5.303 Bus 51;0.985195;-3.66419;NULL;LV5.303;7
LV5.303 Bus 22;0.985014;-3.54735;NULL;LV5.303;7
LV5.303 Bus 24;0.982246;-3.30893;NULL;LV5.303;7
LV5.303 Bus 34;0.981699;-3.68174;NULL;LV5.303;7
LV5.303 Bus 104;0.982687;-3.52943;NULL;LV5.303;7
LV5.303 Bus 54;0.980515;-3.6861;NULL;LV5.303;7
LV5.303 Bus 38;0.99348;-3.50704;NULL;LV5.303;7
LV5.303 Bus 69;0.982507;-3.30607;NULL;LV5.303;7
LV5.303 Bus 14;0.995104;-3.60812;NULL;LV5.303;7
LV5.303 Bus 17;0.979235;-3.67652;NULL;LV5.303;7
LV5.303 Bus 63;0.993924;-3.4586;NULL;LV5.303;7
LV5.303 Bus 97;0.980627;-3.68572;NULL;LV5.303;7
LV5.303 Bus 65;0.976933;-3.70486;NULL;LV5.303;7
LV5.303 Bus 37;0.976949;-3.70469;NULL;LV5.303;7
LV5.303 Bus 6;0.982306;-3.53361;NULL;LV5.303;7
LV5.303 Bus 103;0.982287;-3.68444;NULL;LV5.303;7
LV5.303 Bus 84;0.994229;-3.59932;NULL;LV5.303;7
LV5.303 Bus 47;0.991533;-3.64673;NULL;LV5.303;7
LV5.303 Bus 48;0.982302;-3.68428;NULL;LV5.303;7
LV5.303 Bus 67;0.977077;-3.70328;NULL;LV5.303;7
LV5.303 Bus 77;0.977222;-3.70167;NULL;LV5.303;7
LV5.303 Bus 96;0.97849;-3.69454;NULL;LV5.303;7
LV5.303 Bus 52;0.984716;-3.544;NULL;LV5.303;7
LV5.303 Bus 99;0.976715;-3.70337;NULL;LV5.303;7
LV5.303 Bus 28;0.986182;-3.55918;NULL;LV5.303;7
LV5.303 Bus 58;0.994343;-3.58174;NULL;LV5.303;7
LV5.303 Bus 88;0.982188;-3.30958;NULL;LV5.303;7
LV5.303 Bus 53;0.982468;-3.68246;NULL;LV5.303;7
LV5.303 Bus 92;0.993557;-3.41601;NULL;LV5.303;7
LV5.303 Bus 74;0.983048;-3.67611;NULL;LV5.303;7
LV5.303 Bus 55;0.97695;-3.70077;NULL;LV5.303;7
LV5.303 Bus 3;0.977025;-3.70155;NULL;LV5.303;7
LV5.303 Bus 60;0.981613;-3.54119;NULL;LV5.303;7
LV5.303 Bus 91;0.977052;-3.70166;NULL;LV5.303;7
LV5.303 Bus 2;0.982217;-3.4205;NULL;LV5.303;7
LV5.303 Bus 80;0.979282;-3.67256;NULL;LV5.303;7
LV5.303 Bus 9;0.989087;-3.57941;NULL;LV5.303;7
LV5.303 Bus 39;0.994992;-3.60933;NULL;LV5.303;7
LV5.303 Bus 46;0.982345;-3.44614;NULL;LV5.303;7
LV5.303 Bus 89;0.97652;-3.70551;NULL;LV5.303;7
LV5.303 Bus 73;0.995465;-3.60421;NULL;LV5.303;7
LV5.303 Bus 83;0.993463;-3.52746;NULL;LV5.303;7
LV5.303 Bus 12;0.981619;-3.54113;NULL;LV5.303;7
LV5.303 Bus 68;0.993526;-3.54115;NULL;LV5.303;7
LV5.303 Bus 106;0.987626;-3.57081;NULL;LV5.303;7
LV5.303 Bus 107;0.98188;-3.53827;NULL;LV5.303;7
LV5.303 Bus 108;0.990741;-3.65532;NULL;LV5.303;7
LV5.303 Bus 109;0.990202;-3.66118;NULL;LV5.303;7
LV5.303 Bus 110;0.989587;-3.66787;NULL;LV5.303;7
LV5.303 Bus 111;0.994471;-3.61496;NULL;LV5.303;7
LV5.303 Bus 112;0.989277;-3.67124;NULL;LV5.303;7
LV5.303 Bus 113;0.989137;-3.67277;NULL;LV5.303;7
HV1 Bus 25;1.025;0;HV1_MV3.101_Substation;HV1_MV3.101;3
HV1 Bus 26;1.025;0;HV1_MV3.101_Substation;HV1_MV3.101;3
MV3.101 node1;1.01883;-2.22638;HV1_MV3.101_Substation;MV3.101;5
MV3.101 node2;1.00328;-3.39069;HV1_MV3.101_Substation;MV3.101;5
MV3.101 busbar1A;1.01883;-2.22638;HV1_MV3.101_Substation;MV3.101;5
MV3.101 busbar1B;1.00328;-3.39069;HV1_MV3.101_Substation;MV3.101;5
MV3.101 busbar2A;1.01883;-2.22638;HV1_MV3.101_Substation;MV3.101;5
MV3.101 busbar2B;1.00328;-3.39069;HV1_MV3.101_Substation;MV3.101;5
MV3.101 BS busbar1A;1.01526;-2.30018;MV3.101_Base_Station;MV3.101;5
MV3.101 BS busbar1B;1.01883;-2.22681;MV3.101_Base_Station;MV3.101;5
MV3.101 BS busbar1C;0.996627;-3.54318;MV3.101_Base_Station;MV3.101;5
MV3.101 Bus 11;1.01785;-2.25314;NULL;MV3.101_LV4.301_Feeder1;5
MV3.101 Bus 12;1.0169;-2.27878;NULL;MV3.101_LV4.302_Feeder1;5
MV3.101 Bus 13;1.01668;-2.2847;NULL;MV3.101_LV6.301_Feeder1;5
MV3.101 Bus 14;1.01616;-2.29847;NULL;MV3.101_LV4.303_Feeder1;5
MV3.101 Bus 15;1.01538;-2.30545;NULL;MV3.101_LV4.304_Feeder1;5
MV3.101 Bus 16;1.01458;-2.31058;NULL;MV3.101_LV5.301_Feeder1;5
MV3.101 Bus 17;1.01439;-2.31193;NULL;MV3.101_LV5.302_Feeder1;5
MV3.101 Bus 18;1.01431;-2.31361;NULL;MV3.101_LV6.302_Feeder1;5
MV3.101 Bus 19;1.0159;-2.30341;NULL;MV3.101_LV5.303_Feeder1;5
MV3.101 Bus 20;1.0157;-2.3078;NULL;MV3.101_LV4.305_Feeder1;5
MV3.101 Bus 21;1.01563;-2.30929;NULL;MV3.101_LV6.303_Feeder1;5
MV3.101 Bus 22;1.01778;-2.24875;NULL;MV3.101_LV4.306_Feeder2;5
MV3.101 Bus 23;1.01691;-2.2666;NULL;MV3.101_LV5.304_Feeder2;5
MV3.101 Bus 24;1.0162;-2.28138;NULL;MV3.101_LV5.305_Feeder2;5
MV3.101 Bus 25;1.01589;-2.28773;NULL;MV3.101_LV4.307_Feeder2;5
MV3.101 Bus 26;1.00167;-3.42308;NULL;MV3.101_LV4.308_Feeder3;5
MV3.101 Bus 27;1.00064;-3.44359;NULL;MV3.101_LV5.306_Feeder3;5
MV3.101 Bus 28;0.999662;-3.46375;NULL;MV3.101_LV4.309_Feeder3;5
MV3.101 Bus 29;0.998898;-3.47919;NULL;MV3.101_LV4.310_Feeder3;5
MV3.101 Bus 30;0.998454;-3.48795;NULL;MV3.101_LV4.311_Feeder3;5
MV3.101 Bus 31;0.998213;-3.49165;NULL;MV3.101_LV5.307_Feeder3;5
MV3.101 Bus 32;0.997646;-3.50096;NULL;MV3.101_LV6.304_Feeder3;5
MV3.101 Bus 33;0.997278;-3.50687;NULL;MV3.101_LV4.312_Feeder3;5
MV3.101 Bus 34;0.997026;-3.51058;NULL;MV3.101_LV5.308_Feeder3;5
MV3.101 Bus 35;0.996942;-3.51208;NULL;MV3.101_LV6.305_Feeder3;5
MV3.101 Bus 36;1.00283;-3.40152;NULL;MV3.101_LV6.306_Feeder4;5
MV3.101 Bus 37;1.00159;-3.43093;NULL;MV3.101_LV6.307_Feeder4;5
MV3.101 Bus 38;1.00103;-3.44409;NULL;MV3.101_LV4.313_Feeder4;5
MV3.101 Bus 39;0.999475;-3.47953;NULL;MV3.101_LV4.314_Feeder4;5
MV3.101 Bus 40;0.997768;-3.51759;NULL;MV3.101_LV5.309_Feeder4;5
MV3.101 Bus 41;1.00273;-3.398;NULL;MV3.101_LV5.310_Feeder5;5
MV3.101 Bus 42;1.00213;-3.40617;NULL;MV3.101_LV5.311_Feeder5;5
MV3.101 Bus 43;1.001;-3.42132;NULL;MV3.101_LV5.312_Feeder5;5
MV3.101 Bus 44;1;-3.43506;NULL;MV3.101_LV5.313_Feeder5;5
MV3.101 Bus 45;0.999173;-3.44694;NULL;MV3.101_LV4.315_Feeder5;5
MV3.101 Bus 46;0.998753;-3.45263;NULL;MV3.101_LV5.314_Feeder5;5
MV3.101 Bus 47;0.997831;-3.4657;NULL;MV3.101_LV5.315_Feeder5;5
MV3.101 Bus 48;0.997488;-3.47089;NULL;MV3.101_LV5.316_Feeder5;5
MV3.101 Bus 49;0.997345;-3.47332;NULL;MV3.101_LV6.308_Feeder5;5
MV3.101 Bus 50;0.997286;-3.47431;NULL;MV3.101_LV6.309_Feeder5;5
MV3.101 Bus 51;1.00284;-3.39923;NULL;MV3.101_LV5.317_Feeder6;5
MV3.101 Bus 52;1.00159;-3.42432;NULL;MV3.101_LV6.310_Feeder6;5
MV3.101 Bus 53;1.00092;-3.43756;NULL;MV3.101_LV6.311_Feeder6;5
MV3.101 Bus 54;1.00005;-3.45457;NULL;MV3.101_LV5.318_Feeder6;5
MV3.101 Bus 55;0.999102;-3.47007;NULL;MV3.101_LV5.319_Feeder6;5
MV3.101 Bus 56;0.99827;-3.48483;NULL;MV3.101_LV6.312_Feeder6;5
MV3.101 Bus 57;0.997844;-3.49243;NULL;MV3.101_LV6.313_Feeder6;5
MV3.101 Bus 58;0.997658;-3.49584;NULL;MV3.101_LV6.314_Feeder6;5
MV3.101 Bus 59;1.0022;-3.42006;NULL;MV3.101_LV5.320_Feeder7;5
MV3.101 Bus 60;1.00055;-3.46537;NULL;MV3.101_LV4.316_Feeder7;5
MV3.101 Bus 61;0.997904;-3.53773;NULL;MV3.101_LV6.315_Feeder7;5
MV3.101 Bus 62;0.996554;-3.57477;NULL;MV3.101_LV4.317_Feeder7;5
MV3.101 Bus 63;0.994175;-3.62259;NULL;MV3.101_LV6.316_Feeder7;5
MV3.101 Bus 64;0.991534;-3.67565;NULL;MV3.101_LV5.321_Feeder7;5
MV3.101 Bus 65;0.990511;-3.69667;NULL;MV3.101_LV6.317_Feeder7;5
MV3.101 Bus 66;0.989202;-3.72356;NULL;MV3.101_LV6.318_Feeder7;5
MV3.101 Bus 67;0.988565;-3.73662;NULL;MV3.101_LV4.318_Feeder7;5
MV3.101 Bus 68;0.987223;-3.76319;NULL;MV3.101_LV6.319_Feeder7;5
MV3.101 Bus 69;0.98646;-3.77815;NULL;MV3.101_LV6.320_Feeder7;5
MV3.101 Bus 70;0.985197;-3.80247;NULL;MV3.101_LV6.321_Feeder7;5
MV3.101 Bus 71;0.984138;-3.82235;NULL;MV3.101_LV5.322_Feeder7;5
MV3.101 Bus 72;0.98372;-3.83055;NULL;MV3.101_LV5.323_Feeder7;5
MV3.101 Bus 73;0.983505;-3.83507;NULL;MV3.101_LV5.324_Feeder7;5
MV3.101 Bus 74;0.983236;-3.84134;NULL;MV3.101_LV4.319_Feeder7;5
MV3.101 Bus 75;0.982995;-3.84683;NULL;MV3.101_LV4.320_Feeder7;5
MV3.101 Bus 76;0.98285;-3.85;NULL;MV3.101_LV6.322_Feeder7;5
MV3.101 Bus 77;1.0029;-3.39281;NULL;MV3.101_LV5.325_Feeder8;5
MV3.101 Bus 78;1.00224;-3.39566;NULL;MV3.101_LV4.321_Feeder8;5
MV3.101 Bus 79;1.00146;-3.39766;NULL;MV3.101_LV4.322_Feeder8;5
MV3.101 Bus 80;1.00054;-3.39811;NULL;MV3.101_LV6.323_Feeder8;5
MV3.101 Bus 81;1.00027;-3.39722;NULL;MV3.101_LV5.326_Feeder8;5
MV3.101 Bus 82;0.999788;-3.39423;NULL;MV3.101_LV5.327_Feeder8;5
MV3.101 Bus 83;0.998885;-3.38525;NULL;MV3.101_LV6.324_Feeder8;5
MV3.101 Bus 84;0.998006;-3.36938;NULL;MV3.101_LV5.328_Feeder8;5
MV3.101 Bus 85;0.99776;-3.3571;NULL;MV3.101_LV5.329_Feeder8;5
MV3.101 Bus 86;0.997638;-3.34769;NULL;MV3.101_LV5.330_Feeder8;5
MV3.101 Bus 87;0.996443;-3.36695;NULL;MV3.101_LV6.325_Feeder8;5
MV3.101 Bus 88;0.99601;-3.37386;NULL;MV3.101_LV5.331_Feeder8;5
MV3.101 Bus 89;0.995274;-3.3863;NULL;MV3.101_LV6.326_Feeder8;5
MV3.101 Bus 90;0.994511;-3.39911;NULL;MV3.101_LV5.332_Feeder8;5
MV3.101 Bus 91;0.993855;-3.41126;NULL;MV3.101_LV4.323_Feeder8;5
MV3.101 Bus 92;0.99344;-3.41869;NULL;MV3.101_LV6.327_Feeder8;5
MV3.101 Bus 93;0.993163;-3.42376;NULL;MV3.101_LV6.328_Feeder8;5
MV3.101 Bus 94;1.01716;-2.25845;NULL;MV3.101_LV6.329_Feeder9;5
MV3.101 Bus 95;1.01628;-2.2753;NULL;MV3.101_LV4.324_Feeder9;5
MV3.101 Bus 96;1.01579;-2.28451;NULL;MV3.101_LV5.333_Feeder9;5
MV3.101 Bus 97;1.01492;-2.30129;NULL;MV3.101_LV4.325_Feeder9;5
MV3.101 Bus 98;1.0144;-2.30915;NULL;MV3.101_LV5.334_Feeder9;5
MV3.101 Bus 99;1.01324;-2.32762;NULL;MV3.101_LV5.335_Feeder9;5
MV3.101 Bus 100;1.01265;-2.33771;NULL;MV3.101_LV6.330_Feeder9;5
MV3.101 Bus 101;1.01231;-2.34358;NULL;MV3.101_LV5.336_Feeder9;5
MV3.101 Bus 102;1.01187;-2.35221;NULL;MV3.101_LV4.326_Feeder9;5
MV3.101 Bus 103;1.01167;-2.35613;NULL;MV3.101_LV4.327_Feeder9;5
MV3.101 Bus 104;1.01158;-2.35799;NULL;MV3.101_LV4.328_Feeder9;5
MV3.101 Bus 105;1.01737;-2.26172;NULL;MV3.101_LV5.337_Feeder10;5
MV3.101 Bus 106;1.01616;-2.2916;NULL;MV3.101_LV4.329_Feeder10;5
MV3.101 Bus 107;1.01455;-2.33056;NULL;MV3.101_LV4.330_Feeder10;5
MV3.101 Bus 108;1.01349;-2.35603;NULL;MV3.101_LV5.338_Feeder10;5
MV3.101 Bus 109;1.01288;-2.36418;NULL;MV3.101_LV4.331_Feeder10;5
MV3.101 Bus 110;1.01168;-2.37993;NULL;MV3.101_LV5.339_Feeder10;5
MV3.101 Bus 111;1.01052;-2.39546;NULL;MV3.101_LV5.340_Feeder10;5
MV3.101 Bus 112;1.00899;-2.41659;NULL;MV3.101_LV5.341_Feeder10;5
MV3.101 Bus 113;1.00842;-2.42471;NULL;MV3.101_LV4.332_Feeder10;5
MV3.101 Bus 114;1.00728;-2.44009;NULL;MV3.101_LV6.331_Feeder10;5
MV3.101 Bus 115;1.00679;-2.44618;NULL;MV3.101_LV5.342_Feeder10;5
MV3.101 Bus 116;1.0063;-2.45256;NULL;MV3.101_LV6.332_Feeder10;5
MV3.101 Bus 117;1.00616;-2.45399;NULL;MV3.101_LV5.343_Feeder10;5
MV3.101 Bus 118;1.00608;-2.45486;NULL;MV3.101_LV5.344_Feeder10;5
MV3.101 Bus 119;1.01421;-2.30278;NULL;MV3.101_LV3.301_Feeder11;5
MV3.101 Bus 120;1.0137;-2.30482;NULL;MV3.101_LV3.302_Feeder11;5
MV3.101 Bus 121;1.01347;-2.30485;NULL;MV3.101_LV3.303_Feeder11;5
MV3.101 Bus 122;1.01296;-2.30661;NULL;MV3.101_LV4.333_Feeder11;5
MV3.101 Bus 123;1.01286;-2.30683;NULL;MV3.101_LV5.345_Feeder11;5
MV3.101 Bus 124;1.01277;-2.30755;NULL;MV3.101_LV4.334_Feeder11;5
MV3.101 Bus 125;1.01484;-2.30188;NULL;MV3.101_LV3.304_Feeder12;5
MV3.101 Bus 126;1.0145;-2.30391;NULL;MV3.101_LV5.346_Feeder12;5
MV3.101 Bus 127;1.01409;-2.30409;NULL;MV3.101_LV5.347_Feeder12;5
MV3.101 Bus 128;1.01373;-2.30479;NULL;MV3.101_LV5.348_Feeder12;5
MV3.101 Bus 129;1.01363;-2.30544;NULL;MV3.101_LV4.335_Feeder12;5
MV3.101 Bus 130;0.996097;-3.54529;NULL;MV3.101_LV5.349_Feeder13;5
MV3.101 Bus 131;0.995398;-3.54806;NULL;MV3.101_LV4.336_Feeder13;5
MV3.101 Bus 132;0.995046;-3.54639;NULL;MV3.101_LV3.305_Feeder13;5
MV3.101 Bus 133;0.994303;-3.54462;NULL;MV3.101_LV4.337_Feeder13;5
MV3.101 Bus 134;0.994032;-3.54273;NULL;MV3.101_LV3.306_Feeder13;5
MV3.101 Bus 135;0.993936;-3.54248;NULL;MV3.101_LV5.350_Feeder13;5
MV3.101 Bus 136;0.996343;-3.54498;NULL;MV3.101_LV4.338_Feeder14;5
MV3.101 Bus 137;0.996038;-3.54661;NULL;MV3.101_LV4.339_Feeder14;5
MV3.101 Bus 138;0.995781;-3.54762;NULL;MV3.101_LV3.307_Feeder14;5
MV3.101 Bus 139;0.995011;-3.55218;NULL;MV3.101_LV4.340_Feeder14;5
MV3.101 Bus 140;0.994857;-3.55279;NULL;MV3.101_LV4.341_Feeder14;5
MV3.101 Bus 141;0.994476;-3.55289;NULL;MV3.101_LV3.308_Feeder14;5
MV3.101 Bus 142;0.994399;-3.55319;NULL;MV3.101_LV4.342_Feeder14;5
MV3.101 Bus 143;0.994284;-3.55225;NULL;MV3.101_LV3.309_Feeder14;5
